course_id,title,platform,provider,level,duration,rating,skills,price
0,Google Cybersecurity,Coursera,Google,Beginner,450.0,4.8,"['"" Python Programming""', '"" Network Architecture""', '"" Cryptography""', '"" Linux""', '"" Computer Programming""', '"" Audit""', '"" Databases""', '"" Risk Management""', '{"" Network Security""', '"" Computer Security Incident Management""', '"" Algorithms""', '"" Cloud Computing""', '"" Leadership and Management""', '"" SQL""}']",0.0
1,Google Data Analytics,Coursera,Google,Beginner,450.0,4.8,"['"" Communication""', '"" Data Visualization""', '"" Big Data""', '"" Leadership and Management""', '"" Spreadsheet Software""', '"" Business Analysis""', '"" Databases""', '"" Load""', '"" Statistical Programming""', '"" Exploratory Data Analysis""', '"" Data Science""', '"" Problem Solving""', '"" Data Management""', '"" Business Communication""', '"" SQL""', '"" Tableau Software""}', '"" Computer Programming""', '"" Extract""', '"" R Programming""', '"" Small Data""', '"" Microsoft Excel""', '"" General Statistics""', '"" Data Visualization Software""', '"" Transform""', '{"" Data Analysis""']",0.0
2,Google Project Management:,Coursera,Google,Beginner,450.0,4.8,"['"" Communication""', '"" Planning""', '"" Organizational Development""', '"" Product Management""', '"" Culture""', '"" Entrepreneurship""', '"" Leadership and Management""', '"" Budget Management""', '"" Collaboration""', '"" Finance""', '"" Software Engineering""', '"" Risk Management""', '"" People Management""', '"" Agile Software Development""', '"" Emotional Intelligence""', '"" Problem Solving""', '"" Business Communication""', '"" Change Management""', '"" Influencing""', '{"" Project Management""', '"" Strategy and Operations""', '"" Scrum (Software Development)""', '"" Procurement""}', '"" Supply Chain and Logistics""']",0.0
3,Google Digital Marketing & E-commerce,Coursera,Google,Beginner,450.0,4.8,"['"" Sales""', '"" Web Design""', '"" Communication""', '"" Social Media""', '"" Web Development""', '"" Web Development Tools""', '"" Media Strategy & Planning""', '"" Persona Research""', '"" Marketing""', '"" Data Analysis""', '{"" Digital Marketing""', '"" Market Analysis""}', '"" Marketing Management""', '"" Strategy""', '"" Data Management""', '"" Writing""', '"" Advertising""', '"" Search Engine Optimization""', '"" E-Commerce""']",0.0
4,Google IT Support,Coursera,Google,Beginner,450.0,4.8,"['"" Communication""', '"" Network Security""', '"" System Security""', '"" Linux""', '"" Critical Thinking""', '"" Leadership and Management""', '"" Network Architecture""', '"" Computer Architecture""', '"" Cryptography""', '"" Networking Hardware""', '"" Human Computer Interaction""', '"" Network Analysis""', '"" Operating Systems""}', '"" Network Model""', '"" Problem Solving""', '{"" Computer Networking""', '"" Computer Programming""', '"" Cloud Computing""', '"" Customer Support""']",0.0
5,IBM Data Science,Coursera,IBM,Beginner,450.0,4.6,"['"" Customer Analysis""', '"" Machine Learning""', '"" Regression""', '"" Data Visualization""', '"" Statistical Machine Learning""', '"" Big Data""', '"" Data Mining""', '"" Database Theory""', '"" Writing""}', '"" Databases""', '"" Statistical Programming""', '"" Data Analysis""', '"" Algorithms""', '"" Data Model""', '"" Exploratory Data Analysis""', '"" Data Science""', '"" IBM Cloud""', '"" Database Application""', '"" Decision Making""', '"" Probability & Statistics""', '"" Data Management""', '"" Human Learning""', '"" SQL""', '"" Deep Learning""', '"" Computer Programming""', '{"" Python Programming""', '"" Cloud Computing""', '"" Machine Learning Algorithms""', '"" R Programming""', '"" Applied Machine Learning""', '"" Statistical Visualization""', '"" Reinforcement Learning""', '"" Computational Thinking""', '"" Plot (Graphics)""', '"" General Statistics""', '"" Database Design""']",0.0
6,Google UX Design,Coursera,Google,Beginner,450.0,4.8,"['"" Web Design""', '"" User Experience Design""', '"" User Research""', '"" Social Media""', '"" Collaboration""', '"" Product Design""', '"" Planning""', '"" Audit""', '"" Product Development""', '"" Web Development Tools""}', '{"" User Experience""', '"" Human Computer Interaction""']",0.0
7,IBM Data Analyst,Coursera,IBM,Beginner,450.0,4.6,"['"" Machine Learning""', '"" Data Visualization""', '"" Data Mining""', '"" Database Theory""', '"" Spreadsheet Software""', '"" Business Analysis""', '"" Databases""', '"" Statistical Programming""', '"" Data Analysis""', '"" Exploratory Data Analysis""', '"" Data Science""', '"" NoSQL""', '"" IBM Cloud""', '"" Regression""}', '"" Database Application""', '"" Probability & Statistics""', '"" Data Management""', '"" SQL""', '"" Computer Programming""', '{"" Python Programming""', '"" Cloud Computing""', '"" Machine Learning Algorithms""', '"" R Programming""', '"" Statistical Visualization""', '"" Interactive Data Visualization""', '"" Computational Thinking""', '"" Plot (Graphics)""', '"" Microsoft Excel""', '"" General Statistics""', '"" Data Visualization Software""', '"" Database Design""']",0.0
8,Machine Learning,Coursera,Multiple educators,Beginner,150.0,4.9,"['"" Regression""', '"" Applied Machine Learning""', '{"" Machine Learning""', '"" Python Programming""', '"" Reinforcement Learning""}', '"" Network Model""', '"" Critical Thinking""', '"" Mathematics""', '"" Artificial Neural Networks""', '"" Machine Learning Software""', '"" Statistical Machine Learning""', '"" Human Learning""', '"" Tensorflow""', '"" Deep Learning""', '"" Algorithms""', '"" Machine Learning Algorithms""']",0.0
9,Introduction to Data Science,Coursera,IBM,Beginner,450.0,4.6,"['"" Regression""', '"" Machine Learning""', '"" Statistical Machine Learning""', '"" Big Data""', '"" Data Mining""', '"" Database Theory""', '"" Writing""}', '{"" Data Science""', '"" Databases""', '"" Data Analysis""', '"" Data Model""', '"" IBM Cloud""', '"" Database Application""', '"" Data Management""', '"" SQL""', '"" Deep Learning""', '"" Cloud Computing""', '"" Computer Programming""', '"" R Programming""', '"" Python Programming""', '"" Computational Thinking""', '"" Database Design""']",0.0
