Name,Code,About,Link,"ng-binding 2 , ng-binding 3  ng-binding 8",ng-binding 5,Date,Mode,Instructure
Abstract Drawing and Painting,ART X412.5,"Explore abstraction as a philosophy and a process-based journey of discovery. Through drawing and painting, you develop a variety of aesthetic and conceptual approaches to non-representation, experimenting with diverse processes and techniques. You devise or refine a uniquely personal abstract language. Analyses of noted modern and postmodern abstract artworks complement your ongoing studio work.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=77320735,"Post-Baccalaureate Certificate in Visual Arts , Specialized Program in Painting  ",This section is open for enrollment,"September 12, 2024 - November 21, 2024",Live Online,"Cynthia Innis,  M.F.A."
Accessibility in UX Design,DESIGN X405.7,"Get an introduction to important aspects of . You first examine the principles of universal design and define the concept of multimedia accessibility that can lower the barriers to entry and improve the experience of websites, apps and forms for people with disabilities. Class discussions center on the core  as they apply to UX design, including an overview of assistive technologies; rethinking disabilities; proper use of color, contrast, and tagging; and form accessibility. You learn practical techniques to ensure usability vs. accessibility in  that can be viewed and used by everyone. Create accessible forms. Learn guidelines for making online content accessible. Investigate the human side of accessibility. Course assignments provide real-world experience so that you are be prepared to incorporate accessibility into your own projects. You complete this class with portfolio pieces that display your new skills.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=60941538,"Professional Program in User Experience (UX) Design , accessibility  concepts of accessibility",This section is open for enrollment,"September 23, 2024 - December 9, 2024",Online,Jennifer Romano
Advanced Revit,ARCH X485,"Picking up where  ARCH X479.2 leaves off, this course covers more advanced commands and functional applications using Autodesk Revit's powerful building information modeling (BIM) software. Learn to harness the power of automatically generated information and master tools that create custom Revit families, lighting, materials, renderings, schedules, and details to improve work flow and productivity.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40014,"Certificate Program in Interior Design ,   Revit",This section is open for enrollment,"September 16, 2024 - December 9, 2024",Live Online,"Tamara Roth, Associate IIDA, B.F.A., LEED AP ID+C"
AutoCAD,ARCH X479.1,"Develop your digital communication skills by using drafting and editing commands in Autodesk AutoCAD, the industry-standard computer-aided drawing software. Progress with more advanced commands such as XREFs, blocks with attributes and XCLIPs. Learn to translate your model space files into scaled paper space drawings and plot them using multiple viewpoints.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40004,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 10, 2024 - December 17, 2024",Live Online,Ricardo Uribe
Branding,DESIGN X411,"This advanced course simulates the demands of the contemporary design market. Refine your design and presentation skills by working on complex projects involving multiple components. Develop and produce design proposals for specific real-world projects involving two and three dimensions. Create an appropriate goal, timeline and final presentation for a comprehensive and dynamic design-identity program. The instructor selects and facilitates the design project and leads group and individual critiques of student work.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=40705,"Professional Program in Graphic Design , Professional Program in User Experience (UX) Design  ",This section is open for enrollment,"September 19, 2024 - December 12, 2024",Live Online,Thomas McNulty
Business Practices for Interior Designers,ARCH X409,"Develop the skills and knowledge to address the broad range of business and legal needs of the interior design professional. Class curriculum covers business development, financial management and strategic planning. You study practical aspects of the design business, including project management, contracts, record keeping, licensing, ways to limit your liability, and the legal and ethical aspects of the profession.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=39976,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 10, 2024 - December 17, 2024",Live Online,Andrea Davis
Chinese Calligraphy,ART X431,"Get an introduction to the essential techniques and materials of calligraphy. Develop an appreciation for the origin, history and artistic significance of this ancient art by examining the works of master calligraphers. The instructor leads demonstrations using a variety of styles and equipment. Through assignments you focus on body and hand postures, character strokes, and proportion. You then practice producing words and poems using these traditional techniques, and explore their application in your own contemporary art.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=1470589,"Post-Baccalaureate Certificate in Visual Arts , Specialized Program in Drawing  ",This section is open for enrollment,"September 21, 2024 - November 23, 2024",Live Online,"Aiqin Zhou,  M.F.A."
Color Theory and Application for Interiors,ARCH X412.7,"Color is one of the most powerful, useful and expressive tools for designing compelling interior spaces. Review the color-based theories of Albert Munsell, Johannes Itten and Josef Albers. Learn how to change the value and intensity of colors using paint. Understand how light transforms color. Two-dimensional exercises teach you to apply theory to using color in interior space.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=39984,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 10, 2024 - December 17, 2024",Live Online,"Josie Grant,  M.F.A."
Design Communication I,ARCH X486.1,"Develop your skills in hand drafting and sketching with this basic course in line work, lettering and page layouts for architectural drawings. Learn to produce floor plans, elevations and sections for construction and presentation to contractors and clients. Throughout this process, you learn the basics of industry-standard terms, methods of construction, and organization of graphic communication and the architectural vocabulary. The work is all done by hand, with the intent of preparing you for computer-aided work in future classes.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=27643169,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 5, 2024 - November 7, 2024",Live Online,Salvatore Leonardi
Design Communication II,ARCH X486.2,"Learn how drawing can be most effective in the design process. Representing design ideas using software is commonly required, but what do we call those drawings? This course introduces you to the vocabulary of representing 3-D environments. You gain the ability to identify view types and know what to ask for from modeling software. You also develop your manual drawing style as you make your own perspective drawings. You gain hands-on experience drawing interiors in some of the most commonly occurring formats, not using lines that machines do best, but in your own hand.",https://extension.berkeley.edu/search/publicCourseSearchDetails.do?method=load&courseId=29609885,"Certificate Program in Interior Design ,   ",This section is open for enrollment,"September 18, 2024 - November 20, 2024",Live Online,Parisa Maghsoud
