Course link,Course Code,Category,Sub Category,Name ,Instructure,Topic,Resource Type
https://ocw.mit.edu/courses/14-44-energy-economics-spring-2007/,14.44, Undergraduate,courses,Energy Economics,"Prof. Paul Joskow, ","Science, Economics, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/21a-218j-identity-and-difference-spring-2010/,21A.101J (formerly 21A.218J) , Undergraduate,courses,Identity and Difference,"Prof. Jean Jackson, ","Social Science, Society, Anthropology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/18-01-single-variable-calculus-fall-2006/,18.01, Undergraduate,courses,Single Variable Calculus,"Prof. David Jerison, ","Mathematics, Differential Equations, Calculus","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/21h-181-libertarianism-in-history-spring-2014/,21H.181 , Undergraduate,courses,Libertarianism in History,"Prof. Malick Ghachem, ","Humanities, History, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/7-016-introductory-biology-fall-2018/,7.016, Undergraduate,courses,Introductory Biology,"Prof. Barbara Imperiali, Prof. Adam Martin","Science, Health and Medicine, Biology","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/4-175-case-studies-in-city-form-fall-2005/,4.175, Graduate,courses,Case Studies in City Form,"Prof. Michael Dennis, Mr. Anubhav Gupta","Architecture, Social Science, Fine Arts","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/16-852j-integrating-the-lean-enterprise-fall-2005/,16.852J , Graduate,courses,Integrating the Lean Enterprise,"Prof. Deborah Nightingale, ","Engineering, Systems Engineering, Business","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/10-490-integrated-chemical-engineering-i-fall-2006/,10.49, Undergraduate,courses,Integrated Chemical Engineering I,"Dr. Barry S. Johnston, ","Engineering, Science, Chemistry","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-965-technology-strategy-for-system-design-and-management-spring-2009/,15.965, Graduate,courses,Technology Strategy for System Design and Management,"Michael A. M. Davies, ","Management, Leadership, Business","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/14-126-game-theory-spring-2016/,14.126, Graduate,courses,Game Theory,"Prof. Mihai Manea, ","Economics, Social Science, Game Theory","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-003-atmosphere-ocean-and-climate-dynamics-fall-2008/,12.003, Undergraduate,courses,"Atmosphere, Ocean and Climate Dynamics","Prof. Raffaele Ferrari, ","Engineering, Science, Earth Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-425-extrasolar-planets-physics-and-detection-techniques-fall-2007/,12.425, Undergraduate,courses,Extrasolar Planets: Physics and Detection Techniques,"Prof. Sara Seager, ","Science, Physics, Earth Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/6-092-introduction-to-programming-in-java-january-iap-2010/,6.092, Undergraduate,courses,Introduction to Programming in Java,"Evan Jones, Adam Marcus","Engineering, Computer Science, Software Design and Engineering","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/18-700-linear-algebra-fall-2013/,18.7, Undergraduate,courses,Linear Algebra,"David Vogan, ","Mathematics, Linear Algebra, ","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/18-303-linear-partial-differential-equations-analysis-and-numerics-fall-2014/,18.303, Undergraduate,courses,Linear Partial Differential Equations: Analysis and Numerics,"Prof. Steven G. Johnson, ","Mathematics, Applied Mathematics, Linear Algebra","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/12-335-experimental-atmospheric-chemistry-fall-2014/,12.335," Undergraduate, Graduate",courses,Experimental Atmospheric Chemistry,"Dr. Karin Ardon Dryer, Prof. Shuhei Ono","Science, Chemistry, Earth Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/21a-112-seminar-in-ethnography-and-fieldwork-spring-2008/,21A.112 , Undergraduate,courses,Seminar in Ethnography and Fieldwork,"Prof. Stefan Helmreich, ","Humanities, Ethics, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/15-792j-proseminar-in-manufacturing-fall-2005/,15.792J , Graduate,courses,Proseminar in Manufacturing,"Prof. Donald Rosenfield, ","Innovation, Leadership, Business","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/16-886-air-transportation-systems-architecting-spring-2004/,16.886, Graduate,courses,Air Transportation Systems Architecting,"Prof. John-Paul Clarke, Prof. John Hansman","Engineering, Systems Engineering, Social Science","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
https://ocw.mit.edu/courses/21l-704-studies-in-poetry-20th-century-irish-poetry-the-shadow-of-w-b-yeats-spring-2008/,21L.704 , Undergraduate,courses,Studies in Poetry: 20th Century Irish Poetry: The Shadow of W. B. Yeats,"Prof. John Hildebidle, ","Humanities, Literature, Criticism","Lecture Notes, Instructor Insights , assignment, Multiple Assignment Types"
