Link,Name,Availability,Mode,About Course,Duration,Number of meetings
https://www.conted.ox.ac.uk/courses/advanced-writing-lives-online?code=O24P651CRV,Advanced Writing Lives (Online),Available,Online - flexible- Short courses,"Every day we meet people with interesting life stories.  Our lives are made up of tragic, uplifting and humorous experiences which shape us as individuals.  We love, fight, apologise, account for and endure through whatever comes our way.","Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/analysing-classical-music-an-introduction-online?code=O24P504MSV,Analysing Classical Music: An Introduction (Online),Available,Online - flexible- Short courses,The aim of musical analysis is to understand how music exerts such a powerful effect on us. This course introduces some of the main approaches as we attempt to bridge the gap between our intuitions about music and our intellectual knowledge of it.,"Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/animal-behaviour-an-introduction-online?code=O24P387BIV,Animal Behaviour: An Introduction (Online),Available,Online - flexible- Short courses,"Why do animals behave the way they do? In this course we will look at the full range of behaviours found in the animal kingdom, from simple escape behaviours to complex tool use and their evolution.","Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/britain-and-its-empire-online?code=O24P384HIV,Britain and Its Empire (Online),Available,Online - flexible- Short courses,This course examines the rise and fall of the British Empire and its manifold legacies in Britain and beyond.,"Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/fiction-by-victorian-women-george-eliot-elizabeth-gaskell-online?code=O24P315LTV,"Fiction by Victorian Women: George Eliot, Elizabeth Gaskell (Online)",Available,Online - flexible- Short courses,Some of the great writers of the Victorian period were women. Find out how they portrayed women's issues and lives in such compelling fiction.,"Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/introduction-to-philosophy-online?code=O24P322PHV,Introduction to Philosophy (Online),Available,Online - flexible- Short courses,"We think we know, but do we? We think we are free, but are we? We think our actions are moral, but are they? What is this reality we take ourselves to live in?  The oldest questions meet the newest technology in this online introduction to philosophy.","Mon 09 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/microeconomics-an-introduction-online?code=O24P344SOV,Microeconomics: An Introduction (Online),Available,Online - flexible- Short courses,"This course provides a detailed introduction to microeconomics. On completion of the course, students will have the ability to understand and apply the principles of microeconomics at first-year undergraduate level.","Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/psychology-an-introduction-online?code=O24P382PCV,Psychology: An Introduction (Online),Available,Online - flexible- Short courses,"This course introduces the science of psychology, exploring the richness of human functions, uncovering the brain's secrets and revealing its complexities. Studies from biological, psychodynamic, cognitive, behavioural and social approaches are presented.","Mon 09 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/what-is-local-history?code=O24P489LHW,What is Local History?,Available,In-person weekly- Short courses,"The course introduces students to approaches, methods and sources for English local history, with an emphasis on the documentary evidence available for studying manors, parishes, towns and populations.","Mon 09 Sep 2024- Thu 26 Sep 2024, 7:00 - 9:00pm",6 meetings
https://www.conted.ox.ac.uk/courses/ancient-egypt-an-introduction-online?code=O24P371AHV,Ancient Egypt: An Introduction (Online),Available,Online - flexible- Short courses,"From royal pyramids, court artisans and powerful pharaohs, to grandiose temples, mysterious gods and foreign invasions, participants will experience the world of ancient Egypt, its highs and lows, and the rich tapestry of its culture.","Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/churchill-soldier-politician-and-statesman-online?code=O24P361HIV,"Churchill: Soldier, Politician and Statesman (Online)",Available,Online - flexible- Short courses,"Sir Winston Churchill, regarded as one of Britain's greatest statesmen, still provokes controversy and debate. The aim of this course is to study his life in detail, assess his successes and failures and to gain some insights into the complex personality.","Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/critical-reading-online?code=O24P302LTV,Critical Reading (Online),Available,Online - flexible- Short courses,"This course is for anyone who would like to learn to read beneath the surface, pay attention to language and form, and become a critical reader.","Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/getting-started-in-creative-writing-online?code=O24P358CRV,Getting Started in Creative Writing (Online),Available,Online - flexible- Short courses,This course introduces the key characteristics of creative writing. You will be supported with stage-by-stage guidance as you assimilate and employ a range of critical and creative methods. The course includes tutor feedback and participant discussion.,"Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/literary-theory-an-introduction-online?code=O24P365LTV,Literary Theory: An Introduction (Online),Available,Online - flexible- Short courses,"Although literary theory might sometimes seem intimidating, it can be very accessible and exciting. This course aims to demystify literary theory, showing how it illuminates literary texts and enriches our understanding and enjoyment of literature.","Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/middle-english-literature-online?code=O24P432LTV,Middle English Literature (Online),Available,Online - flexible- Short courses,"Middle English literature is not all prayer and piety and men in armour. Find a rich cultural heritage in Middle English poems, plays and prose.","Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/philosophy-of-religion-online?code=O24P325PHV,Philosophy of Religion (Online),Available,Online - flexible- Short courses,"The course looks at what, if anything, it is that Jews, Christians and Muslims are agreeing about when they claim that there is a God; and we shall look at what, if any, prospects there are for rationally defending or attacking this claim.","Wed 11 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/social-entrepreneurship-online?code=O24P333SOV,Social Entrepreneurship (Online),Available,Online - flexible- Short courses,"Students on this course will gain knowledge about social entrepreneurs, and how to develop creative solutions to address social problems utilising Gandhi's model of 'be the change you wish to see in the world' to make a difference in the lives of others.","Wed 11 Sep 2024- 22 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/art-nouveau-across-europe-online?code=O24P363ARV,Art Nouveau across Europe (Online),Available,Online - flexible- Short courses,"From Paris to Moscow, Glasgow to Barcelona, this course examines the richness and variety of European art nouveau.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/civil-war-and-revolution-britain-divided-1640-1660-online?code=O24P353HIV,"Civil War and Revolution: Britain Divided, 1640-1660 (Online)",Available,Online - flexible- Short courses,"The civil wars that swept across the British Isles in the 17th century left few lives untouched. This course will explore the causes, conduct and significance of the English civil wars.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/exploring-the-universe-online?code=O24P352PYV,Exploring the Universe (Online),Available,Online - flexible- Short courses,"How old is the universe? How unusual is the Solar System? How will it all end? Oxford astronomers Chris Lintott and Robert Simpson provide an overview of the last 13.7 billion years of cosmic evolution, answering these questions and more.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/globalisation-online?code=O24P369SOV,Globalisation (Online),Available,Online - flexible- Short courses,Everybody is talking about 'globalisation' - but what does it really mean? What factors drive globalisation and what are the consequences for all of us? How can and should we govern processes of globalisation?,"Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/henry-viii-online?code=O24P334HIV,Henry VIII (Online),Available,Online - flexible- Short courses,"The reign of Henry VIII transformed British history. This course charts the political, religious and cultural changes of the period.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/jane-austen-online?code=O24P317LTV,Jane Austen (Online),Available,Online - flexible- Short courses,"Many readers enjoy Austen's novels, but what makes them so special and enduring?","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/learning-to-look-at-modern-art-online?code=O24P309ARV,Learning to Look at Modern Art (Online),Available,Online - flexible- Short courses,"This course will seek to provide guidelines about how to look at modern art in an open-minded, critical and analytical way.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/learning-to-look-at-the-visual-arts-online?code=O24P301ARV,Learning to Look at the Visual Arts (Online),Available,Online - flexible- Short courses,"This course offers you the opportunity to learn how to study and analyse paintings, drawings and prints, and learn the 'language of looking'.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/origins-of-human-behaviour-online?code=O24P520AHV,Origins of Human Behaviour (Online),Available,Online - flexible- Short courses,What makes humans different from other primates? When did we become human? This course will chart the development of human behaviour.,"Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/public-policy-economics-online?code=O24P375SOV,Public Policy Economics (Online),Available,Online - flexible- Short courses,"All of us are affected by government policies, and governments place particular emphasis on economic policies. This course will equip you to evaluate the economic arguments made about public policy choices.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/ritual-and-religion-in-prehistory-online?code=O24P304AHV,Ritual and Religion in Prehistory (Online),Available,Online - flexible- Short courses,How can we begin to understand the spiritual lives of prehistoric people? When do religious ideologies first appear on the human evolutionary timescale? Using both anthropology and archaeological evidence these and many other questions are examined.,"Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/social-anthropology-an-introduction-online?code=O24P332AHV,Social Anthropology: An Introduction (Online),Available,Online - flexible- Short courses,"Social anthropology is the study of how humans give meaning to the world through different social norms, values, practices and means of organisation. This course provides an exciting and dynamic introduction to the world of social anthropology.","Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/the-wars-of-the-roses-power-politics-and-personalities-online?code=O24P378HIV,"The Wars of The Roses: Power, Politics and Personalities (Online)",Available,Online - flexible- Short courses,The recent discovery of Richard III's remains in Leicester highlights the dynamic new research being conducted into the period known as the Wars of the Roses. This course asks students to engage with the latest work on this exciting and tumultuous period.,"Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/theory-of-knowledge-online?code=O24P323PHV,Theory of Knowledge (Online),Available,Online - flexible- Short courses,The theory of knowledge is one of the most central areas of philosophy. In this online course you will cover the key issues in epistemology while also learning to think for yourself and develop your own answers to the core questions in this area.,"Mon 16 Sep 2024- 29 Nov 2024, ",NA
https://www.conted.ox.ac.uk/courses/mapping-the-spatial-structure-of-historic-cities?code=O24P291PAR,Mapping the Spatial Structure of Historic Cities,Available,Online - live- Short courses- Professional development- Hybrid - in person or online,"Delve into historic urban landscapes, mastering spatial analysis techniques in this 2-day course. Uncover layers of history and culture, enriching your professional skill set. Learn how the layout of cities helps to shape movement, interaction and trade.","Tue 17 Sep 2024- 18 Sep 2024, 13.00pm Tues - 5pm Wed",2 meetings
