Link,Course name,Course code,school,location,status
https://online.stanford.edu/courses/xfm110-technical-fundamentals-generative-ai,Technical Fundamentals of Generative AI,XFM110,Stanford Institute for Human-Centered Artificial Intelligence (HAI),"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/xfm111-business-opportunities-and-applications-generative-ai,Business Opportunities and Applications of Generative AI,XFM111,Stanford Institute for Human-Centered Artificial Intelligence (HAI),"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/xfm112-human-centered-generative-ai,Human-Centered Generative AI,XFM112,Stanford Institute for Human-Centered Artificial Intelligence (HAI),"Online, self-paced",Not Yet Available
https://online.stanford.edu/courses/xeduc315n-21st-century-teaching-learning-data-science,21st-Century Teaching & Learning: Data Science,XEDUC315N,Stanford Graduate School of Education,"Online, self-paced",Enrollment Open
https://online.stanford.edu/courses/cs240-advanced-topics-operating-systems,Advanced Topics in Operating Systems,CS240,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/som-xche0012-ai-healthcare-capstone,AI in Healthcare Capstone,SOM-XCHE0012,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced, Coursera",Enrollment Open
https://online.stanford.edu/courses/xgal0001-ai-ux-design-essentials-human-computer-interaction-enhanced-user-experiences,AI UX Design Essentials: Human-Computer Interaction for Enhanced User Experiences,XGAL0001,Stanford School of Engineering,"Online, instructor-paced",Enrollment Open
https://online.stanford.edu/courses/chemeng300-applied-mathematics-chemical-and-biological-sciences,Applied Mathematics in the Chemical and Biological Sciences,CHEMENG300,Stanford School of Engineering,"Online, instructor-led",Enrollment Open
https://online.stanford.edu/courses/xcs221-artificial-intelligence-principles-and-techniques,Artificial Intelligence: Principles and Techniques,XCS221,Stanford School of Engineering,"Online, instructor-paced",Enrollment Open
https://online.stanford.edu/courses/xgen208-biology-and-applications-crisprcas-system,Biology and Applications of the CRISPR/Cas System,XGEN208,"Stanford School of Medicine, Stanford Center for Health Education","Online, self-paced",Enrollment Open
