Link,Institution,Name,Rating,Review,Duration,Spend time per week,Category,Type
https://www.futurelearn.com/courses/4-0-shades-of-digitalisation-for-the-chemical-and-process-industries,University of Padova,4 0 shades of digitalisation for the chemical and process industries,NA,NA,4 weeks,5 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-basic-cooking-skills,International Culinary Studio,a beginners guide to basic cooking skills,NA,NA,5 weeks,5 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-data-analytics,BoxPlay & FutureLearn,a beginners guide to data analytics,NA,NA,3 weeks,3 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-data-handling-and-management-in-excel,Packt & FutureLearn,a beginners guide to data handling and management in excel,NA,NA,3 weeks,3 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-docker,Packt & FutureLearn,a beginners guide to docker,NA,NA,2 weeks,3 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/beginners-guide-fashion-design,Bloomsbury Publishing & FutureLearn,beginners guide fashion design,NA,NA,3 weeks,2 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-film-genres,Film Distributors' Association,a beginners guide to film genres,4.6,(38 reviews),4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-giving-and-receiving-feedback,University of Southern Queensland,a beginners guide to giving and receiving feedback,NA,NA,4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/healthy-eating,The University of Adelaide,healthy eating,NA,NA,4 weeks,1 hr per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-interior-design-principles-and-elements,British Academy of Interior Design,a beginners guide to interior design principles and elements,4.8,(49 reviews),4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-scrum-project-management,Packt & FutureLearn,a beginners guide to scrum project management,NA,NA,2 weeks,2 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-vcs-and-git,Packt & FutureLearn,a beginners guide to vcs and git,NA,NA,1 week,2 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-web-development-with-html5,Packt & FutureLearn,a beginners guide to web development with html5,NA,NA,2 weeks,3 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-c-and-net,Packt & FutureLearn,a beginners guide to c and net,NA,NA,2 weeks,2 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/introduction-to-environmental-science,Central Queensland University,introduction to environmental science,4.5,(37 reviews),4 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-java-programming,Packt & FutureLearn,a beginners guide to java programming,NA,NA,3 weeks,2 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/a-beginners-guide-to-kubernetes-for-container-orchestration,Packt & FutureLearn,a beginners guide to kubernetes for container orchestration,NA,NA,3 weeks,2 hrs per week,Premium course,courses
https://www.futurelearn.com/courses/english-for-study,University of Reading,english for study,4.9,(436 reviews),5 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-deeper-understanding-of-autism,The University of Kent,a deeper understanding of autism,NA,NA,4 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/a-global-history-of-sex-and-gender,The University of Glasgow,a global history of sex and gender,4.5,(105 reviews),4 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/public-health-history,London School of Hygiene & Tropical Medicine,public health history,4.6,(59 reviews),3 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/royal-fashion,The University of Glasgow & Historic Royal Palaces,royal fashion,4.8,(716 reviews),5 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/tudor-entertainment,Historic Royal Palaces,tudor entertainment,4.7,(64 reviews),3 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/transfer-medicine,UCL (University College London),transfer medicine,4.7,(36 reviews),4 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/just-transition-to-a-low-carbon-economy,The University of the West Indies,just transition to a low carbon economy,NA,NA,3 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/nutrition-sensitive-agriculture,University of Leeds & University of Pretoria,nutrition sensitive agriculture,4.5,(23 reviews),2 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-panoramic-view-of-china,Shanghai International Studies University (SISU),a panoramic view of china,NA,NA,8 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/guide-to-university-entry,University of Reading,guide to university entry,4.7,(28 reviews),2 weeks,2 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/a-reporters-toolkit-for-the-digital-and-social-media-age-sc,The University of Kent,a reporters toolkit for the digital and social media age sc,NA,NA,4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-reporters-toolkit-for-the-digital-and-social-media-age,The University of Kent,a reporters toolkit for the digital and social media age,NA,NA,4 weeks,3 hrs per week,NA,courses
https://www.futurelearn.com/courses/a-survey-of-substance-use-disorder-sc,American Society of Addiction Medicine,a survey of substance use disorder sc,NA,NA,2 weeks,4 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/a-three-step-guide-to-equitable-makerspaces,UCL (University College London),a three step guide to equitable makerspaces,NA,NA,3 weeks,3 hrs per week,Free digital upgrade,courses
https://www.futurelearn.com/courses/methodologies-for-service-design-j,Keio University,methodologies for service design j,NA,NA,4 weeks,2 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/global-studies-cultures-organizations-french,Grenoble Ecole de Management,global studies cultures organizations french,NA,NA,4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/global-studies-global-french,Grenoble Ecole de Management,global studies global french,NA,NA,4 weeks,6 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/japanese-book-paper-j,Keio University,japanese book paper j,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/japanese-rare-books-culture-j,Keio University,japanese rare books culture j,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/japanese-rare-books-sino-j,Keio University,japanese rare books sino j,NA,NA,4 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/academic-research-methodology,Coventry University,academic research methodology,4.5,(39 reviews),2 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/academic-writing-for-healthcare-students-in-higher-education,"St George's, University of London & Kingston and St George's Faculty of Health, Social Care and Education",academic writing for healthcare students in higher education,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/academic-writing-for-learners-of-english,UCL (University College London),academic writing for learners of english,4.7,(54 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/accounting-101,INCEIF,accounting 101,NA,NA,3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/accounting-death-war,"Royal Holloway, University of London & Every Casualty Counts",accounting death war,4.4,(10 reviews),3 weeks,3 hrs per week,Included in Unlimited,courses
https://www.futurelearn.com/courses/achieving-sustainable-development,Trinity College Dublin,achieving sustainable development,4.8,(49 reviews),4 weeks,4 hrs per week,Included in Unlimited,courses
