URL,Name,Instructure,Institute,Duration,Last date,Exam date,Exam registration last date
https://onlinecourses.swayam2.ac.in/nou23_ge35/preview,National Education...,"Prof. Santosh Panda,","Indira Gandhi National Open University, New Delhi ,IGNOU","4 Weeks
                          
                          
                              (Starts: 01-02-2023)",NA,"Exam Date: 1 Mar, 2023",NA
https://onlinecourses.swayam2.ac.in/nou23_ge40/preview,National Education...,"Prof. Santosh Panda,","Indira Gandhi National Open University, New Delhi ,IGNOU","4 Weeks
                          
                          
                              (Starts: 16-03-2023)","Enrollment Ends: 15 Mar, 2023","Exam Date: 16 Apr, 2023",NA
https://onlinecourses.swayam2.ac.in/cec24_ce01/preview,Earth System Science,M. S. Sisodia,"J.N.V. University, Jodhpur Rajasthan ,CEC","12 Weeks
                          
                          
                              (Starts: 08-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 18 May, 2024",NA
https://onlinecourses.swayam2.ac.in/nou24_ge39/preview,MJM024: Media Information and...,Prof. K S Arul Selvan,"Indira Gandhi National Open University (IGNOU), New... ,IGNOU","12 Weeks
                          
                          
                              (Starts: 01-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 18 May, 2024",NA
https://onlinecourses.swayam2.ac.in/aic24_ge15/preview,Yoga Volunteers for Palliative Care -...,Dr Manjunath N K | Dr Vijaya Majumdar | Dr Ritesh...,"Swami Vivekananda Yoga Anusandhana Samsthana ,AICTE","16 Weeks
                          
                          
                              (Starts: 01-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 18 May, 2024",NA
https://onlinecourses.swayam2.ac.in/aic24_ge16/preview,Yoga Volunteers for Palliative Care -...,Dr Manjunath N K | Dr Vijaya Majumdar | Dr Ritesh...,"Swami Vivekananda Yoga Anusandhana Samsthana ,AICTE","16 Weeks
                          
                          
                              (Starts: 01-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 18 May, 2024",NA
https://onlinecourses.swayam2.ac.in/nou24_lg34/preview,MEG-03: British Novel,Dr. Malathy A.,"Indira Gandhi National Open University, New Delhi ,IGNOU","24 Weeks
                          
                          
                              (Starts: 01-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 19 May, 2024",NA
https://onlinecourses.swayam2.ac.in/nou24_ag04/preview,MNRE 016:Project Analysis,Dr. Praveen Kumar Jain,"Indira Gandhi National Open University ,IGNOU","12 Weeks
                          
                          
                              (Starts: 01-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 19 May, 2024",NA
https://onlinecourses.swayam2.ac.in/nou24_hs44/preview,Population and Society,Dr. Dola Borkataki,"Krishna Kanta Handiqui State Open University, Guwahati ,IGNOU","12 Weeks
                          
                          
                              (Starts: 01-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 19 May, 2024",NA
https://onlinecourses.swayam2.ac.in/cec24_hs40/preview,Rethinking Development,Prof. Satyapriya Rout,"University of Hyderabad, Hyderabad ,CEC","16 Weeks
                          
                          
                              (Starts: 15-01-2024)","Enrollment Ends: 29 Feb, 2024","Exam Date: 19 May, 2024",NA
